Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Goals),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Mobile-responsive UI & error states,SH-56,10187,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:19 AM,02/Sep/26 10:41 PM,,,,0,Frontend/UI,"Conduct a full responsive design audit of all public pages and add missing error and empty states across the entire app.

Acceptance criteria — definition of done

* {color:#ffffff}All public pages tested at 375px, 768px, and 1280px — no horizontal scrolling at 375px{color}
* {color:#ffffff}Conflicts table collapses gracefully on mobile showing at minimum: politician, severity, and detail link{color}
* {color:#ffffff}All filters and search bar usable on touch screen{color}
* {color:#ffffff}Empty state shown on conflicts dashboard when filters return zero results{color}
* {color:#ffffff}Failed upload shows specific error message; failed sync shows job error message from logs{color}
* {color:#ffffff}Network timeout (10s no response) shows user-friendly message with retry button on all data-fetching pages{color}
* {color:#ffffff}No raw error stack traces shown to users anywhere{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i000bj:,SH Sprint 7,,5.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:19 AM
Historical agenda backfill job,SH-57,10188,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:19 AM,02/Sep/26 10:41 PM,,,,0,Data_Ingestion,"Build a one-time backfill script that pulls the past 2 years of meeting agendas for all configured cities and runs conflict detection across them. Gives the system historical data from day one of going live.

Acceptance criteria — definition of done

* {color:#ffffff}Script at /scripts/backfill.js runnable manually: node scripts/backfill.js{color}
* {color:#ffffff}Accepts optional --city flag to backfill a single city, runs all cities by default{color}
* {color:#ffffff}Uses same upsert logic as nightly job — no duplicates on re-run{color}
* {color:#ffffff}After ingestion, conflict detection runs on all newly inserted items{color}
* {color:#ffffff}Logs to console: city name, items ingested, conflicts detected, time elapsed{color}
* {color:#ffffff}Completes without crashing if one city's API is unavailable{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i000br:,SH Sprint 7,,5.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:19 AM
Security audit & load test,SH-58,10189,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:19 AM,02/Sep/26 10:41 PM,,,,0,Testing/QA,"Two-part QA story: a security review of all API endpoints and file uploads, and a load test of the ingestion pipeline to confirm it handles bulk data without crashing.

Acceptance criteria — definition of done

* {color:#ffffff}All /admin/* routes return 401 for requests without a valid session — verified with raw HTTP calls{color}
* {color:#ffffff}Upload endpoint rejects files over 10MB with 413 and non-XLSX MIME types even with .xlsx extension{color}
* {color:#ffffff}All user-supplied text rendered in frontend is escaped — no raw innerHTML with user data{color}
* {color:#ffffff}Prisma parameterized queries used throughout — no raw SQL string concatenation{color}
* {color:#ffffff}git grep confirms no API keys or secrets in repo history{color}
* {color:#ffffff}Load test script uploads 100 synthetic Form 700 XLSX files and seeds 1000 agenda items — detection completes without timeout or OOM crash{color}
* {color:#ffffff}Supabase 20-connection limit not exceeded during load test{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i000bz:,SH Sprint 7,,5.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:19 AM
Add 3+ additional CA cities,SH-59,10190,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:19 AM,02/Sep/26 10:42 PM,,,,0,Data_Ingestion,"Expand beyond the initial city set by adding at least 3 more California cities through the admin data sources UI — not by hardcoding. Include a mix of Legistar and Apify sources to validate both pipelines.

Acceptance criteria — definition of done

* {color:#ffffff}At least 3 new CA cities added via /admin/sources UI{color}
* {color:#ffffff}At least one uses Legistar and at least one uses Apify/PDF{color}
* {color:#ffffff}Each city's ingestion job runs successfully and inserts agenda items{color}
* {color:#ffffff}Conflict detection runs on new cities and produces results{color}
* {color:#ffffff}All new cities visible on admin sources page with correct last sync times{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i000c7:,SH Sprint 7,,5.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:19 AM
Production deployment,SH-60,10191,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:24 AM,02/Sep/26 10:42 PM,,,,0,Infastructure/DevOps,"Execute the final production deployment. Frontend to the client's Vercel account connected to their fork of the GitHub repo. Backend to Railway. All environment variables confirmed in production before go-live.

Acceptance criteria — definition of done

* {color:#ffffff}Frontend deployed to Vercel under client's account and accessible at a public URL{color}
* {color:#ffffff}Backend deployed to Railway under client's account — GET /health returns 200{color}
* {color:#ffffff}All environment variables set in both Vercel and Railway dashboards — confirmed by checking each env config panel{color}
* {color:#ffffff}Frontend successfully calls the production backend API — confirmed by loading the conflicts dashboard with real data{color}
* {color:#ffffff}Test Form 700 upload through production admin panel succeeds end-to-end{color}
* {color:#ffffff}Client given production URLs and has confirmed access to both{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i000cf:,SH Sprint 8,,5.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:24 AM
Secrets & credentials audit,SH-61,10192,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:24 AM,02/Sep/26 10:42 PM,,,,0,Infastructure/DevOps,"Final audit of all credentials. Nothing sensitive in the codebase, and the client knows exactly which keys are theirs to manage going forward.

Acceptance criteria — definition of done

* {color:#ffffff}git log and git grep confirm no API keys, passwords, or secrets in repo history{color}
* {color:#ffffff}/docs/credentials.md lists every environment variable: what it is, where to find/regenerate it, and who owns it{color}
* {color:#ffffff}Supabase service role key, Apify API key, and Resend API key all confirmed under client accounts{color}
* {color:#ffffff}Client walked through each credential and confirmed they have independent access to all of them{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i000cn:,SH Sprint 8,,3.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:24 AM
Admin system health page & weekly digest email,SH-62,10193,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:24 AM,02/Sep/26 10:42 PM,,,,0,Frontend/UI,"Two related admin features for ongoing operations: a health page so the client can self-diagnose issues, and a weekly email digest so they stay informed without logging in every day.

Acceptance criteria — definition of done

* {color:#ffffff}/admin/health shows: last N sync_logs rows with status and error, failed-run Retry button, last nightly sync time and result, DB row counts for all major tables{color}
* {color:#ffffff}Page auto-refreshes every 60 seconds and loads in under 2 seconds{color}
* {color:#ffffff}Weekly email sent every Monday at 8am to ADMIN_EMAIL env variable via Resend API{color}
* {color:#ffffff}Email subject: ""FAIR Weekly Digest — [N] new conflicts detected"", body lists each new conflict with a direct link{color}
* {color:#ffffff}Sends a ""no new conflicts"" message if week was clear{color}
* {color:#ffffff}Test email triggerable via GET /api/admin/test-digest (admin auth required){color}
* {color:#ffffff}Resend account and API key under client ownership{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i000cv:,SH Sprint 8,,5.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:24 AM
Final regression test pass,SH-63,10194,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:24 AM,02/Sep/26 10:42 PM,,,,0,Testing/QA,"Complete regression test before go-live — both automated and manual. No story in this sprint is considered done until regression passes clean.

Acceptance criteria — definition of done

* {color:#ffffff}npm test passes with zero failures in staging environment{color}
* {color:#ffffff}npm run test:e2e passes with zero failures in staging environment{color}
* {color:#ffffff}Manual smoke test completed: public dashboard, filters, conflict detail, politician profile, search, admin login, upload, CSV export, PDF report, manual conflict review — all working{color}
* {color:#ffffff}Smoke test checklist documented in /docs/smoke_test.md with results recorded{color}
* {color:#ffffff}Zero known bugs at go-live — all regression findings fixed before launch{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i000d3:,SH Sprint 8,,5.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:24 AM
Browser & accessibility audit,SH-64,10195,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:24 AM,02/Sep/26 10:42 PM,,,,0,Testing/QA,"Confirm the public site works across browsers likely users will use and meets basic accessibility standards.

Acceptance criteria — definition of done

* {color:#ffffff}Conflicts dashboard, conflict detail, politician profile, and landing page tested in Chrome, Firefox, and Safari with no visual breakage{color}
* {color:#ffffff}Lighthouse accessibility score for the conflicts dashboard is 80 or above{color}
* {color:#ffffff}All images have alt text, all inputs have labels, all interactive elements keyboard-navigable{color}
* {color:#ffffff}Severity badge colors pass WCAG AA contrast ratio{color}
* {color:#ffffff}Lighthouse scores documented in /docs/lighthouse_results.md{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i000db:,SH Sprint 8,,3.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:24 AM
Developer handoff README,SH-65,10196,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,16/Mar/26 12:24 AM,02/Sep/26 10:42 PM,,,,0,Docs/Handoff,"Technical handoff document for any future developer who takes over the project. Should be self-contained enough that someone unfamiliar with the codebase can get a local environment running from scratch.

Acceptance criteria — definition of done

* {color:#ffffff}README covers: project overview, local dev setup step by step, all env variables with descriptions, DB migration steps, deploy process for frontend and backend, and architecture diagram reference{color}
* {color:#ffffff}A team member follows the README on a clean machine and gets a working local environment without needing to ask questions{color}
* {color:#ffffff}Committed to repo root before final presentation{color}",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i000dj:,SH Sprint 8,,3.0,,,10957,SH-175,191 Epic,To Do,16/Mar/26 12:24 AM
Fuzzy matching library integration,SH-71,10271,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,21/Mar/26 11:24 PM,02/Sep/26 10:42 PM,,,,0,Parsing/Processing,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i000dn:,SH Sprint 8,,5.0,,,10957,SH-175,191 Epic,To Do,21/Mar/26 11:24 PM
LLM-assisted entity resolution,SH-72,10272,Story,To Do,SH,Software Hornets,software,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,Medium,,,,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,21/Mar/26 11:29 PM,02/Sep/26 10:42 PM,,,,0,Parsing/Processing,"For entity name comparisons that score between 0.7 and 0.85 on fuzzy matching — confident enough to be worth checking but not confident enough to auto-flag — send both names to an LLM with a structured yes/no prompt to determine if they refer to the same organization. Matches above 0.85 skip the LLM entirely. Matches below 0.7 are discarded without an LLM call. This keeps API costs minimal while handling the hard cases automatically. Google LLM will be used

*Acceptance criteria:*

* {{resolveEntities(nameA, nameB, fuzzyScore)}} is a named exported async function in {{/utils/entityNorm.js}}
* If {{fuzzyScore >= 0.85}} function returns {{true}} immediately — no LLM call made
* If {{fuzzyScore < 0.7}} function returns {{false}} immediately — no LLM call made
* If {{fuzzyScore}} is between 0.7 and 0.85 an LLM API call is made with a structured prompt asking only whether the two names refer to the same organization
* LLM prompt instructs the model to respond with JSON only: {{{ ""match"": true }}} or {{{ ""match"": false }}} — no other text
* Response is parsed and the boolean value returned
* If the LLM API call fails or times out, function falls back to returning {{true}} if score >= 0.80, {{false}} if below — never throws
* LLM API key stored in {{.env}} as {{LLM_API_KEY}} — never committed to repo
* Unit tests cover: above 0.85 (no LLM call), below 0.7 (no LLM call), between thresholds with mocked LLM returning true, between thresholds with mocked LLM returning false, and LLM timeout fallback behavior
* Estimated cost per 1000 entity comparisons logged to console in development mode so the team can monitor usage",,Sina Vaghefi,712020:e7ab2b0d-cdd1-4afe-9cf8-938058814e1b,,,,,,,,,{},,,0|i000dp:,SH Sprint 8,,8.0,,,10957,SH-175,191 Epic,To Do,21/Mar/26 11:29 PM
